experiment_id,stage,data_split_allowed,feature_version,baseline_or_candidate,modalities,mask_policy,corruption_type,location,duration_or_rate,normalizer,loss,seed_policy,metrics,decision_rule,dependencies,evidence_status,execution_status,budget_block,new_training_runs,training_run_ref,purpose,metrics_value,design_status,protocol_freeze_id,execution_authorized
AB01,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,augmentation only,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,C0/R0,HYPOTHESIS,NOT_RUN,REUSE,0,C0/R0,same architecture;clean vs augmented,null,FROZEN_FOR_S01_PROTOCOL,R01-FREEZE-01,false
AB02,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,encoder package,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R0/R1,HYPOTHESIS,NOT_RUN,REUSE,0,R0/R1,same equal fusion;not pure temporal causal claim,null,FROZEN_FOR_S01_PROTOCOL,R01-FREEZE-01,false
AB03,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,gate vs equal,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R1/R2,HYPOTHESIS,NOT_RUN,REUSE,0,R1/R2,same encoder architecture/info/head/loss/search;end-to-end coadaptation,null,FROZEN_FOR_S01_PROTOCOL,R01-FREEZE-01,false
AB04,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,gate vs capacity control,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R2/R1-CAP,HYPOTHESIS,NOT_RUN,REUSE,0,R2/R1-CAP,nongating active MLP capacity approx,null,FROZEN_FOR_S01_PROTOCOL,R01-FREEZE-01,false
AB05,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,learned mask meta removal,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R2/D-NOMETA,HYPOTHESIS,NOT_RUN,REUSE,0,R2/D-NOMETA,retain safe S/A and empty branches,null,OUTSIDE_FROZEN_FIRST_ROUND,,false
AB06,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,mask shortcut,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,D-MASK,HYPOTHESIS,NOT_RUN,REUSE,0,D-MASK,diagnostic not ranked,null,OUTSIDE_FROZEN_FIRST_ROUND,,false
AB07,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,normalization,TAV,S/O frozen;A availability conditional;no oracle-free claim,clean,none,0,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,B-CAT,HYPOTHESIS,NOT_RUN,REUSE,0,B-CAT,2normalizers;3seeds;no additional fits,null,FROZEN_FOR_S01_PROTOCOL,R01-FREEZE-01,false
AB08,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,loss Huber,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,CE+Huber1/3 vs CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R0/L-HUBER,HYPOTHESIS,NOT_RUN,REUSE,0,R0/L-HUBER,optionalL one factor,null,OUTSIDE_FROZEN_FIRST_ROUND,,false
AB09,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,class weights,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,train-weighted CE+MAE/3 vs unweighted,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R0/L-WEIGHT,HYPOTHESIS,NOT_RUN,REUSE,0,R0/L-WEIGHT,optionalL one factor,null,OUTSIDE_FROZEN_FIRST_ROUND,,false
AB10,RESEARCH_DESIGN_ONLY,train fit;valid selection after separate authorization,aligned_50,time permutation,TAV,S/O frozen;A availability conditional;no oracle-free claim,local,front/middle/back/random,96 nominal;random 3rep;144 views,2 options only in B;common selected for C0 onward,T0 CE+MAE/3,model17/29/43;train2207;valid1103,Accuracy;fixed3 macro/weighted F1;per-class;MAE;Pearson nullable,B:clean; C0/R0/R1/R2/R1-CAP:attempted96 same checkpoint/stop; across 3 seeds; final seed17,R1,HYPOTHESIS,NOT_RUN,REUSE,0,R1,inference diagnostic;fixed masks,null,OUTSIDE_FROZEN_FIRST_ROUND,,false
